Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
159756,1.71,43089.53,15.85,16.63,37757.81,64602,532.05,41577.75,119,567868018
160186,1.6,39264.92,14.99,17.28,36687.81,58867.95,300.35,41593.65,123,581087256
161044,1.73,44073.36,17.78,17.63,38285.01,66077.01,264,42310.84,144,594770134
161501,1.57,39786.55,41.43,15.93,37888.4,59650,109.47,41890.58,163,608802600
161838,1.86,48925.78,18.29,21.59,39475.41,73352,276.82,47148.31,158,623102897
162057,1.64,42055.62,37.9,21.08,38511.1,63051.9,411.38,44435.94,161,637630087
162059,1.96,52696.74,18.82,26.51,40282.61,79005.6,132.68,50782.6,186,652408776
163239,1.99,53765.87,143.52,31.43,40482.21,80608.5,3.91,51607.88,206,667499806
163444,1.61,42338.29,329.42,32.26,39414.3,63475.7,3.32,46092.77,224,682995354
162854,2,53568.1,481.03,33.97,40151.5,80312,4.18,49611.22,276,698952844
162912,1.96,53281.97,963.84,37.35,40708.4,79883.01,51.45,50339.67,281,715384993
163246,1.85,47204.72,537.26,35.93,38262,70771.7,21.16,52211.84,284,732239504
162732,2.18,60062.02,230.21,40.78,41244,90048,208.87,57513.41,304,749428958
163618,2.13,58397.72,198.36,48.89,41158.8,87552.8,503.53,57673.51,289,766833410
163540,2.33,63910.4,315.07,52.99,41137.2,95817.7,55.84,61096.11,311,784360008
163409,2.21,60549.86,252.86,58.86,41166.7,90779.41,21.06,59293.53,324,801975244
163205,2.2,56920.92,388.68,51.12,38806.3,85338.7,5.27,63668.95,356,819682102
162868,2.55,70947.99,349.55,66.1,41735.81,106368.8,703.4,71315.06,368,837468930
163476,2.62,73577.17,421.75,69.21,42166.9,110310.61,468.63,73746.99,361,855334678
163459,2.61,74382.1,505.02,73.52,42686.61,111517.41,66.04,74021.96,385,873277798
163182,2.63,74732.01,678.24,78,42648.7,112042,12.12,74151.82,318,891273209
162706,2.61,72703.8,580.4,74.7,41775,109001.2,102.38,72297.13,332,909307016
162586,2.83,80306.8,767.68,76.18,42539,120400,75.52,76650.36,315,927403860
162525,2.86,81800.88,890.59,83.46,42814,122640,6.92,77935.27,362,945601831
161911,2.7,76998.48,4913.14,85.7,42800,115440,0.05,78175.26,391,963922588
161025,2.82,81707.5,2511.96,89.04,43400,122500,0,79220.3,419,982365243
161601,2.85,82507.9,2388.78,100.17,43469.8,123700,0.05,80143.9,435,1000900030
161409,2.88,86079.68,4962.94,104.07,44802.3,129055,6.63,81131.04,432,1019483581
160975,2.98,89708.77,1895.18,112.17,45160,134495.9,34.5,82821.29,462,1038058156
160930,2.85,85019.08,1532.57,103.79,44712,127464.9,13.19,82478.46,463,1056575549
160325,3.12,93313.3,2193.71,108.18,44900,139900,0.06,81696.58,472,1075000085
160432,2.62,71856.11,5053.16,100.33,41176.1,107730.3,0.87,80297.77,492,1093317189
159799,3.12,88570.26,3401.92,105.18,42592.5,132789,0.34,81122.98,572,1111523144
159681,2.98,83172.97,4794.45,115.27,41906.7,124697.1,,84445.59,657,1129623456
159444,3.15,91839.29,4062.47,127.61,43659.8,137690.1,0.26,87771.62,747,1147609927
158662,3.18,92804.37,4738.85,136.4,43810,139137,0.16,88061.97,837,1165486291
158022,3.29,96428.19,6449,142.84,43910,144570,0.14,89960.09,1077,1183209472
157995,3.25,98740.01,2484.25,153.35,45537.4,148036,0.08,92237.46,1049,1200669765
157924,3.24,90493.88,2148,167.46,41918.3,135673,0.07,92353.99,1153,1217726215
157009,3.36,96023.33,2225.35,179.1,42862.4,143963.01,0.1,94269.52,1423,1234281170
156979,3.59,105319.3,5004.28,177.32,44010,157900,1.09,95287.01,1498,1250288729
156546,3.69,105252.6,10470.31,164.78,42750,157800,0.54,94755.76,1482,1265782790
157000,3.62,106186.4,11300.1,157.52,43950,159200,1.32,94854.48,1486,1280846129
18000,2.43,13466.73,,12.62,8324.32,20190,506,14355.38,79,117880144
18000,2.46,12935.53,,25.04,7897.64,19393.6,734.3,14920.42,91,121017314
18000,2.56,14333.5,,26.87,8403.6,21489.5,1862.69,15218.75,131,124199687
